Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
DC_3042_trim_R2	1030618	1241084	1985955	2269721	1296137	2804368	3295635	1697958	2599615	3702937	1313349	840994	368178	480625	296039	237974	322916	241182	260456	452872	761129	240495	129723	171474	131182	99603	129832	1739040	58,69030952
DC_3047_trim_R1	1026880	1427611	2364288	2438388	1360975	2613516	2488331	1376208	3069501	2718864	1004560	609239	237913	363065	179667	161577	219890	168890	226216	319785	804366	205714	124834	156652	118770	82649	87621	1579464	56,39526001
DC_3047_trim_R2	1019985	1187159	2324572	2644216	1360056	2611354	2485799	1371665	3067679	2722954	1004787	610025	249988	380265	217481	177120	218509	168776	227107	320821	804765	206402	125172	156441	119219	82069	87867	1583181	56,67490732
DC_3049_trim_R1	1096141	1518469	2478401	2403788	1441946	2839503	2527059	1705956	2078493	3575817	1093426	726213	247296	545899	211277	167214	244338	197738	132887	272247	925110	225033	96421	135623	115437	88382	160136	1408352	55,91134348
DC_3049_trim_R2	1088434	1344932	2434373	2544158	1441608	2837499	2522609	1699207	2076959	3581822	1093691	728666	258167	563852	250240	184053	242584	198153	133951	273294	925280	225867	96795	135530	117172	87119	160293	1412294	56,16835811
DC_3051_trim_R1	1052391	1494004	1958989	1717206	1122040	1699621	2490267	1565633	1664849	3294291	1377327	773587	328343	402152	270006	236713	342947	282369	264077	518817	936156	232633	113235	185172	150699	100080	113919	1368655	59,61343774
DC_3051_trim_R2	1041958	1354593	1927390	1830002	1119677	1695746	2487393	1559976	1663012	3299825	1377397	779019	336053	421216	298069	250384	340248	283507	265664	520101	936191	233242	113559	185010	151209	100470	114100	1371167	59,84841177
DC_3059_trim_R1	1114643	1552936	2373056	2054810	1367985	2743762	2855982	2062972	2481339	4242497	1387500	960748	304128	568208	240475	204729	339545	255057	262149	503996	1125111	281988	111461	191627	171265	97378	138917	1603443	58,67051081
DC_3059_trim_R2	1100862	1269615	2322505	2318029	1366101	2740587	2853740	2055820	2432157	4282703	1401260	967300	312535	586115	276909	220271	338223	256671	263783	505679	1125662	282998	111737	191205	172022	96895	140216	1606107	58,95238632
DC_3060_trim_R1	1947202	2124918	2380085	2895725	1441816	2820991	2526129	1505912	1781129	2956318	940789	595818	249553	367173	190211	167576	235598	184602	152814	328775	719858	158241	83503	121015	88313	75938	78762	830996	50,35868966
